id,stem,option1,option2,option3,option4,option5,option6,answer1,answer2,answer1_base,answer2_base
780,"Some historians have _______ the disjunction between the decades preceding and the ones following the political coup, ignoring the fact that the coup fell in the middle of a twenty-year period of considerable social and economic continuity.",overstated,exaggerated,questioned,misjudged,misinterpreted,overlooked,overstated,exaggerated,overstate,exaggerate
781,"In a 1931 article, Duke Ellington suggested that jazz had _______ aspect: “What we could not say openly we expressed in music, and what we know as ‘jazz’ is something more than just dance music.”",a furtive,an intimate,a familiar,an intellectual,a covert,a subversive,a furtive,a covert,furtive,covert
782,"Despite dogs’ talent for detecting those high-pitched whistles that are inaudible to us, dogs’ ability to locate sounds is _______ compared with ours.",imprecise,innate,impractical,inherent,inexact,impaired,imprecise,inexact,imprecise,inexact
783,"The coagulated latex of the gutta-percha tree, which grows wild in Sumatra, Kalimantan, and Malaya, can be formed into a natural plastic that, although inelastic under ordinary conditions, becomes _______ when placed in hot water.",smooth,pliable,permeable,malleable,pervious,buoyant,pliable,malleable,pliable,malleable
784,"Once a pop musician’s biggest source of income, recorded music now plays second fiddle to touring, endorsements, merchandise sales, and an array of other streams previously considered _______.",lucrative,invaluable,ancillary,irrelevant,supplementary,remunerative,ancillary,supplementary,ancillary,supplementary
785,"The colors of brocaded silks made by Merina weavers in Madagascar were not _______: magenta, blue, black, pink, yellow and brown characterize pieces before 1880, while thereafter green, purple, and orange come to the fore.",invariable,generic,conventional,repetitious,static,traditional,invariable,static,invariable,static
786,It can be _______ to see well-known historical figures played in films by actors who have become firmly associated in our minds with contemporary celebrity culture.,enlightening,unsettling,offensive,illuminating,gratifying,disconcerting,unsettling,disconcerting,unsettling,disconcerting
787,"Despite much _______ the county’s political system, the fact that supporters failed in their attempts to change the constitution to allow the President to run again speaks well of the system’s fundamental strengths.",faith in,confidence in,frustration regarding,skepticism regarding,hesitation toward,doubt about,skepticism regarding,doubt about,skepticism,doubt
788,"Developments in neuroscience and animal behavior have led researchers to question the view that unmitigated competition is _______ animal life: in primatology, the countermovement started with research into how friendships and conflict resolution favor survival.",beneficial to,manifest in,rare in,essential in,evident in,foundational to,manifest in,evident in,manifest,evident
789,"Because they view Earth’s resources as strictly limited, some environmentalists find the notion of sustainable growth to be _______, believing that self-restraint and sacrifice must be at the heart of any environmentally sound strategy for the future.",inevitable,desirable,dubious,questionable,chimerical,certain,dubious,questionable,dubious,questionable
790,Studies have shown that areas of the Amazon rain forest that previously were thought to be _______ have in reality been subject to disturbance and modifications by humans for thousands of years.,inaccessible,untouched,safe,pristine,protected,innocuous,untouched,pristine,untouched,pristine
791,"Coral reefs are often referred to as the rain forests of the sea, _______ comparison given that only tropical rain forests can compete with the sheer concentration of biodiversity found in coral reefs.",a factitious,an imaginative,a fitting,an artificial,an apposite,a fanciful,a fitting,an apposite,fitting,apposite
792,"One virtue of cornmeal as a component of the diets of laborers in early Puerto Rico was the mildness of its taste, a trait that enabled it to _______ the strong flavors of other foods.",mimic,temper,camouflage,neutralize,complement,augment,temper,neutralize,temper,neutralize
793,"In science, _______ can sometimes inhibit understanding; indeed, the advantage of the technique for staining brain tissue developed in 1873 by Golgi was that it showed so little.",biases,projections,prejudices,minutiae,approximations,particulars,minutiae,particulars,minutiae,particular
794,A particular problem with critics’ notions of realism with regard to dialogue in fiction is that all too often the focus is on _______ utterances and not on the flux and process of conversational interaction.,candid,casual,informal,isolated,mundane,discrete,isolated,discrete,isolated,discrete
795,The _______ of governmental subsidies to obscure airports that are rarely used underscores the political difficulties of cutting funds from even the most unnecessary projects.,paucity,effectiveness,durability,persistence,adequacy,dearth,durability,persistence,durability,persistence
796,"Though it lacked _______ demeanor, Guatemala City was nonetheless a compelling place to be in 1954.",an engaging,a winning,a sophisticated,a detached,a workaday,a quotidian,an engaging,a winning,engaging,winning
797,"In spite of its outwardly _______ demeanor, Guatemala City was a compelling place to be in 1954.",engaging,winning,sophisticated,detached,workaday,quotidian,workaday,quotidian,workaday,quotidian
798,"There are too many characters, too many subplots, and no one clearly defined protagonist, making for _______ story.",an unfocused,a maudlin,a superficial,a sentimental,a complicated,a diffuse,an unfocused,a diffuse,unfocused,diffuse
799,"This novel is not great literature: there are too many characters, too many subplots, and no clearly defined protagonist, making for _______ story.",a banal,a diffuse,a mawkish,an innocuous,an amorphous,a hackneyed,a diffuse,an amorphous,diffuse,amorphous
800,"In a production process that is complex and often unpredictable, roles that start out discretely defined may become quite _______.",unambiguous,untenable,fluid,mutable,explicit,perfunctory,fluid,mutable,fluid,mutable
801,"Muriel Spark suggested that Mary Shelley’s prose style was often verbose and platitudinous, the very opposite of Spark’s favored _______.",efficacy,expansiveness,frankness,liberality,concision,pithiness,concision,pithiness,concision,pithiness
